ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
Tlapexco,EL ARBOLILLO,GUSTAVO A. MADERO,19.5382544,-99.1407237,1,Cablebús_L1
Campos Revolución,ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.54049,-99.1440287,4,Cablebús_L1
Ticomán,LA PURISIMA TICOMAN,GUSTAVO A. MADERO,19.5090035,-99.1325999,4,Cablebús_L1
Cuautepec,ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.5397366,-99.1425136,1,Cablebús_L1
La Pastora,ACUEDUCTO DE GUADALUPE 2072,GUSTAVO A. MADERO,19.5249395,-99.1461514,7,Cablebús_L1
Indios Verdes,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,3,Cablebús_L1
Constitución de 1917,LOS ANGELES,IZTAPALAPA,19.3458666,-99.0643392,3,Cablebús_L2
Quetzalcóatl,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,19.3273731,-99.0435357,3,Cablebús_L2
Torres Buenavista,BUENAVISTA,IZTAPALAPA,19.3305333,-99.029873,3,Cablebús_L2
Xalpa,TENORIOS 2559,IZTAPALAPA,19.3359074,-99.0192799,3,Cablebús_L2
Lomas de la Estancia,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.3413151,-99.0099001,3,Cablebús_L2
San Miguel Teotongo,PARAJES BUENAVISTA (TETECON),IZTAPALAPA,19.32246,-99.02907,3,Cablebús_L2
Santa Martha,ERMITA ZARAGOZA,IZTAPALAPA,19.3598938,-98.9952698,3,Cablebús_L2
Cabina_1,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_2,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_3,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_4,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_5,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_6,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_7,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_8,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_9,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_10,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_11,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_12,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_13,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_14,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_15,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_16,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_17,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_18,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_19,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_20,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_21,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_22,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_23,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_24,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_25,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_26,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_27,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_28,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_29,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
Cabina_30,LINDAVISTA,GUSTAVO A. MADERO,19.4952359,-99.1242495,1,Cablebús_L1
