ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC9208,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.3145,-99.2337,1,Mi_Barrio
MC9217,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.3152,-99.2314,1,Mi_Barrio
MC9212,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.3143,-99.2373,1,Mi_Barrio
MC8913,BARROS SIERRA,LA MAGDALENA CONTRERAS,19.3175,-99.246,1,Mi_Barrio
MC8912,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.3173,-99.2436,1,Mi_Barrio
MC8923,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.3178,-99.2424,1,Mi_Barrio
MC8911,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.3188,-99.2447,1,Mi_Barrio
MC8919,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.3188,-99.2447,1,Mi_Barrio
MC9018,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.3015,-99.2679,1,Mi_Barrio
MC9153,EL OCOTAL,LA MAGDALENA CONTRERAS,19.298,-99.2603,1,Mi_Barrio
MC9141,EL OCOTAL,LA MAGDALENA CONTRERAS,19.3013,-99.2622,1,Mi_Barrio
MC9139,EL OCOTAL,LA MAGDALENA CONTRERAS,19.3008,-99.261,1,Mi_Barrio
MC9147,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.3015,-99.2679,1,Mi_Barrio
MC8987,EL ROSAL,LA MAGDALENA CONTRERAS,19.3101,-99.2505,1,Mi_Barrio
MC8979,EL ROSAL,LA MAGDALENA CONTRERAS,19.3092,-99.2503,1,Mi_Barrio
MC3098,CENTRO,CUAUHTÉMOC,19.4273,-99.1419,1,Mi_Barrio
MC9085,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.3074,-99.2697,1,Mi_Barrio
MC9096,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.308,-99.2703,1,Mi_Barrio
MC162,LOMAS DE LA ERA 2275,LA MAGDALENA CONTRERAS,19.3136,-99.2681,1,Mi_Barrio
MC160,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.3129,-99.2676,1,Mi_Barrio
MC8896,ATACAXCO,LA MAGDALENA CONTRERAS,19.3141,-99.2521,1,Mi_Barrio
MC8992,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3239,-99.2539,1,Mi_Barrio
MC8918,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3224,-99.2437,1,Mi_Barrio
MC8977,EL ERMITAÑO 2176,LA MAGDALENA CONTRERAS,19.301,-99.2663,1,Mi_Barrio
MC8972,EL ERMITAÑO 2177,LA MAGDALENA CONTRERAS,19.302,-99.2661,1,Mi_Barrio
MC8970,EL ERMITAÑO 2177,LA MAGDALENA CONTRERAS,19.303,-99.2667,1,Mi_Barrio
MC8984,EL ROSAL,LA MAGDALENA CONTRERAS,19.3118,-99.2491,1,Mi_Barrio
MC8985,EL ROSAL,LA MAGDALENA CONTRERAS,19.312,-99.2497,1,Mi_Barrio
MC9001,EL TANQUE,LA MAGDALENA CONTRERAS,19.3259,-99.2531,1,Mi_Barrio
MC8999,EL TANQUE,LA MAGDALENA CONTRERAS,19.323,-99.249,1,Mi_Barrio
MC8995,EL TANQUE,LA MAGDALENA CONTRERAS,19.3255,-99.2499,1,Mi_Barrio
MC9182,EL TANQUE,LA MAGDALENA CONTRERAS,19.3263,-99.2461,1,Mi_Barrio
MC9111,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3147,-99.2447,1,Mi_Barrio
MC10984,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.2733,-99.2444,1,Mi_Barrio
MC9011,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3142,-99.2271,1,Mi_Barrio
MC9009,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3146,-99.2227,1,Mi_Barrio
MC9007,SANTA TERESA 2529,LA MAGDALENA CONTRERAS,19.3119,-99.2263,1,Mi_Barrio
MC9266,SANTA TERESA 2527,LA MAGDALENA CONTRERAS,19.3112,-99.2277,1,Mi_Barrio
MC9006,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3133,-99.2262,1,Mi_Barrio
MC9008,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.3126,-99.227,1,Mi_Barrio
MC9015,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3122,-99.2644,1,Mi_Barrio
MC9013,HUAYATLA,LA MAGDALENA CONTRERAS,19.3072,-99.2624,1,Mi_Barrio
MC9083,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3083,-99.2645,1,Mi_Barrio
MC9014,HUAYATLA,LA MAGDALENA CONTRERAS,19.3083,-99.2609,1,Mi_Barrio
MC9017,HUAYATLA,LA MAGDALENA CONTRERAS,19.3091,-99.2618,1,Mi_Barrio
MC9025,UNIDAD INDEPENDENCIA I.M.S.S. 2580,LA MAGDALENA CONTRERAS,19.3355,-99.211,1,Mi_Barrio
MC9036,LA CARBONERA,LA MAGDALENA CONTRERAS,19.3008,-99.2581,1,Mi_Barrio
MC9031,LA CARBONERA,LA MAGDALENA CONTRERAS,19.3013,-99.2558,1,Mi_Barrio
MC8959,SAN NICOLAS TOTOLAPAN 2482,LA MAGDALENA CONTRERAS,19.2919,-99.2428,1,Mi_Barrio
MC9049,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.3015,-99.2474,1,Mi_Barrio
MC11778,UNIDAD INDEPENDENCIA I.M.S.S. 2578,LA MAGDALENA CONTRERAS,19.3321,-99.2123,1,Mi_Barrio
MC9050,LA MAGDALENA,LA MAGDALENA CONTRERAS,19.3034,-99.2428,1,Mi_Barrio
MC9056,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3235,-99.2438,1,Mi_Barrio
MC9058,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3218,-99.2418,1,Mi_Barrio
MC9040,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.3032,-99.2338,1,Mi_Barrio
MC9068,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3169,-99.2537,1,Mi_Barrio
MC9072,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3179,-99.2553,1,Mi_Barrio
MC9075,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3177,-99.2554,1,Mi_Barrio
MC9067,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3184,-99.2521,1,Mi_Barrio
MC9117,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3253,-99.2562,1,Mi_Barrio
MC9053,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3213,-99.2405,1,Mi_Barrio
MC9095,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3143,-99.2611,1,Mi_Barrio
MC9105,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3122,-99.2644,1,Mi_Barrio
MC9103,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3117,-99.2631,1,Mi_Barrio
MC9100,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3113,-99.2642,1,Mi_Barrio
MC9094,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3169,-99.2537,1,Mi_Barrio
MC9093,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3134,-99.2629,1,Mi_Barrio
MC158,LOMAS DE SAN BERNABE 2280,LA MAGDALENA CONTRERAS,19.3121,-99.267,1,Mi_Barrio
MC9110,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3129,-99.2411,1,Mi_Barrio
MC9112,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3181,-99.24,1,Mi_Barrio
MC9116,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3175,-99.2407,1,Mi_Barrio
MC9262,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3131,-99.243,1,Mi_Barrio
MC9132,LOS PADRES,LA MAGDALENA CONTRERAS,19.3199,-99.2469,1,Mi_Barrio
MC9133,LOS PADRES,LA MAGDALENA CONTRERAS,19.3224,-99.2467,1,Mi_Barrio
MC9062,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3213,-99.2388,1,Mi_Barrio
MC9195,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3157,-99.2607,1,Mi_Barrio
MC8990,PALMAS,LA MAGDALENA CONTRERAS,19.3125,-99.2512,1,Mi_Barrio
MC9177,POTRERILLO 2388,LA MAGDALENA CONTRERAS,19.3061,-99.255,1,Mi_Barrio
MC9203,POTRERILLO 2388,LA MAGDALENA CONTRERAS,19.3074,-99.2521,1,Mi_Barrio
MC9167,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.3051,-99.2561,1,Mi_Barrio
MC9166,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.3044,-99.2502,1,Mi_Barrio
MC9163,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.3052,-99.2561,1,Mi_Barrio
MC9168,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.3041,-99.2471,1,Mi_Barrio
MC9145,EL OCOTAL,LA MAGDALENA CONTRERAS,19.2987,-99.2633,1,Mi_Barrio
MC9201,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3142,-99.2556,1,Mi_Barrio
MC9198,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3127,-99.2578,1,Mi_Barrio
MC9190,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3147,-99.2555,1,Mi_Barrio
MC9099,LOMAS DE SAN BERNABE 2280,ÁLVARO OBREGÓN,19.3056,-99.2698,1,Mi_Barrio
MC8936,SAN NICOLAS TOTOLAPAN 2482,LA MAGDALENA CONTRERAS,19.2937,-99.245,1,Mi_Barrio
MC8951,SAN NICOLAS TOTOLAPAN 2484,LA MAGDALENA CONTRERAS,19.2881,-99.2453,1,Mi_Barrio
MC8933,SAN NICOLAS TOTOLAPAN 2484,LA MAGDALENA CONTRERAS,19.2882,-99.2431,1,Mi_Barrio
MC8927,SAN NICOLAS TOTOLAPAN 2480,LA MAGDALENA CONTRERAS,19.2942,-99.2461,1,Mi_Barrio
MC9274,TIERRA COLORADA,LA MAGDALENA CONTRERAS,19.2708,-99.245,1,Mi_Barrio
MC363,PRESIDENTES 2DA AMPL,ÁLVARO OBREGÓN,19.3737,-99.2269,1,Mi_Barrio
MC511,PRESIDENTES 2DA AMPL,ÁLVARO OBREGÓN,19.3756,-99.2282,1,Mi_Barrio
MC66,ALFONSO XIII,ÁLVARO OBREGÓN,19.3758,-99.1968,1,Mi_Barrio
MC69,ALFONSO XIII,ÁLVARO OBREGÓN,19.374,-99.1967,1,Mi_Barrio
MC89,LAS AGUILAS 2264,ÁLVARO OBREGÓN,19.3485,-99.2208,1,Mi_Barrio
MC886,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3299,-99.271,1,Mi_Barrio
MC403,ACUILOTLA,ÁLVARO OBREGÓN,19.3605,-99.2426,1,Mi_Barrio
MC60,LOMAS DE CHAMONTOYA,ÁLVARO OBREGÓN,19.3186,-99.2691,1,Mi_Barrio
MC205,GARCIMARRERO NORTE,ÁLVARO OBREGÓN,19.3711,-99.2354,1,Mi_Barrio
MC862,GOLONDRINAS,ÁLVARO OBREGÓN,19.3774,-99.2147,1,Mi_Barrio
MC371,JALALPA TEPITO,ÁLVARO OBREGÓN,19.3735,-99.2371,1,Mi_Barrio
MC527,LOMAS DE BECERRA 2269,ÁLVARO OBREGÓN,19.3834,-99.2149,1,Mi_Barrio
MC559,LOMAS DE LA ERA 2276,ÁLVARO OBREGÓN,19.3189,-99.263,1,Mi_Barrio
MC574,LOMAS DE TETELPAN,ÁLVARO OBREGÓN,19.3429,-99.2179,1,Mi_Barrio
MC685,TECOLALCO,ÁLVARO OBREGÓN,19.3805,-99.2384,1,Mi_Barrio
MC306,OLIVAR DE LOS PADRES,ÁLVARO OBREGÓN,19.3402,-99.2101,1,Mi_Barrio
MC878,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3309,-99.2733,1,Mi_Barrio
MC884,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3307,-99.2715,1,Mi_Barrio
MC887,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3282,-99.2635,1,Mi_Barrio
MC889,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3294,-99.2673,1,Mi_Barrio
MC902,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3336,-99.2657,1,Mi_Barrio
MC876,SAN BARTOLO AMEYALCO 2415,ÁLVARO OBREGÓN,19.3302,-99.2728,1,Mi_Barrio
MC252,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.3259,-99.2261,1,Mi_Barrio
MC9060,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3231,-99.2428,1,Mi_Barrio
MC9059,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3231,-99.2383,1,Mi_Barrio
MC9194,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3182,-99.2603,1,Mi_Barrio
MC9091,LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3144,-99.2641,1,Mi_Barrio
MC9191,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.3144,-99.2554,1,Mi_Barrio
MC9188,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.317,-99.2599,1,Mi_Barrio
